,Title,Director,Cast,Studio,Country,Year,Summary,ImdB,Source,Book? 
49,Son of Dracula,Freddie Francis,"Harry Neilson, Ringo Starr",Apple Films/Cinemation,United Kingdom,1973,"An attempt to combine vampirism, comedy, and rock and roll.",326,Holte - Dracula in the Dark,Dracula
50,"Tender Dracula, or the Confessions of a Blood Drinker",Alaine Robbe-Grillett,Peter Cushing,Trintignant,France,1974,,124,Holte - Dracula in the Dark,Dracula
51,Old Dracula,Clive Donner,"David Niven, Teresa Graves, Peter Bayless Niven",World Film International/American International,United Kingdom,1974,,786,Holte - Dracula in the Dark,Dracula
52,Deafula,Peter Wechberg,"Peter Wechberg, James Randell",Signscope,United States,1975,,83,Holte - Dracula in the Dark,Dracula
53,El Jovencito Dracula,Carlos Benpar,"Carlos Benpar, Victor Isreal",Los Film del Mediterraneo,Spain,1975,,50,Holte - Dracula in the Dark,Dracula
54,"Dracula, Father and Son",Eduard Molinero,Christopher Lee,,France,1976,,543,Holte - Dracula in the Dark,Dracula
55,"Zoltan, Hound of Dracula",Albert Band,"Jose Ferrer, Michael Pataki",VIC,United States,1977,,1153,Holte - Dracula in the Dark,Dracula
56,Lady Dracula,Franz-Joseph Gottlieb,"Evelyn Kraft, Brad Harris",TV 13/IFV Produktion,West Germany,1977,,119,Holte - Dracula in the Dark,Dracula
57,Mama Dracula,Boris Szulzinger,"Louise Fletcher, Maria Schneider",Valisa Films/Radio Television Belge Francaise/SND,Belgium,1978,,367,Holte - Dracula in the Dark,Dracula
58,Count Dracula,Philip Saville,Louis Jourdan,BBC–TV,United Kingdom,1978,"Made for television, this film emphasizes Jourdan as a romantic Dracula.",1261,Holte - Dracula in the Dark,Dracula
59,Dracula,John Badham,"Frank Langella, Laurence Olivier, Kate Nelligan, Donald Pleasance",BBC Television,United Kingdom,1979,Based on the Deane/Balderston stage play and Langella’s Broadway performance. An effective adaptation that emphasizes the romantic elements of Dracula.,,Holte - Dracula in the Dark,Dracula
60,"Nosferatu, Phantam der Nacht",Werner Herzog,"Klaus Kinski, Isabelle Adjani, Bruno Ganz",Werner Herzog/Gaumont,"West Germany, France",1979,An atmospheric remake of Murnau’s classic 1922 film. Kinski is especially effective as the vampire.,31836,Holte - Dracula in the Dark,Dracula
61,Love at First Bite,Stan Dragoti,"George Hamilton, Susan St. James, Richard Benjamin",Simon Productions,United States,1979,"A successful comic adaptation. Dragoti’s direction is crisp, and all the actors perform with enthusiasm.",5244,Holte - Dracula in the Dark,Dracula
62,"Graf Dracula, Beisst Jerzt in Oberbayern",Gregory Goodell,"Linda Haynes, Geoffrey Kewis",Lisa Films/Barthonia Films,,1979,,137,Holte - Dracula in the Dark,Dracula
63,Dracula’s Last Rites,Domonic Paris,"Patricia Lee Hammond, Gerald Fielding",New Empire Features,France,1980,,137,Holte - Dracula in the Dark,Dracula
64,Dracula Rises from the Coffin,Lee Hyoung Pyo,Kang Yong Suk,Tai Chang Inc.,Republic of Korea,1982,,8,Holte - Dracula in the Dark,Dracula
65,To Die For,Deran Serafian,"Sydney Walsh, Brendan Hughes, Amanda Wyss, Steve Bond",Skouras/Trimark Pictures,United States,1988,"Set in contemporary California, this loose adaptation emphasizes the sufferings of the selfaware vampire.",466,Holte - Dracula in the Dark,Dracula
66,Bram Stoker’s Dracula,Francis Ford Coppola,"Gary Oldman, Anthony Hopkins, Winona Ryder",Columbia/Zoetrope,United States,1992,"The most expensive adaptation of Stoker’s novel links Count Dracula with Vlad Tepes in a film influenced by the work of Florescu and McNally. Despite the title, this is not Bram Stoker’s Dracula but a gothic romance that emphasizes the love and suffering of Dracula.",189243,Holte - Dracula in the Dark,Dracula
67,Dracula Rising,Fred Gallo,"Cristopher Atkins, Stacy Travis",Concorde/Roger Corman,United States,1993,"An inexpensive but effective film that employs the device of brother vampires, one good and one evil. The result is a love story",327,Holte - Dracula in the Dark,Dracula
68,Dracula: Dead and Loving It,Mel Brooks,Leslie Neilsen,"Gaumont, Brooksfilms",United States,1995,"A surprisingly sedate parody by Brooks, who includes references from most of the major adaptations.",38519,Holte - Dracula in the Dark,Dracula
69,The Beetle,Alexander Butler,"Maudie Dunham, Hebden Foster, Fred Morgan ",,United Kingdom,1919,"A beetle is possessed by the soul of an ancient Egyptian princess, who is determined to get her revenge on a member of the British Parliament.",11,,The Beetle
